"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","X 좌표","Y 좌표"
"2661","제1종일반주거지역_00103","UQA121","제1종일반주거지역","","","제1종일반주거지역","","2254.036308","565.1717343"
"2662","제3종일반주거지역_00648","UQA123","제3종일반주거지역","","","제3종일반주거지역","","211569.7874","4091.822704"
"2663","준주거지역_4404","UQA130","준주거지역","","","준주거지역","","52689.67033","2183.167016"
"2664","제1종일반주거지역_00329","UQA121","제1종일반주거지역","","","제1종일반주거지역","","147080.7494","2692.522539"
"2665","제2종일반주거지역(7층이하)_20110412","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","442074.0401","6099.628206"
"2666","제3종일반주거지역_00318","UQA123","제3종일반주거지역","","","제3종일반주거지역","","35897.53848","852.8084691"
"2667","제1종일반주거지역_00782","UQA121","제1종일반주거지역","","","제1종일반주거지역","","983.6221816","123.888489"
"2668","제2종일반주거지역_01017","UQA122","제2종일반주거지역","","","제2종일반주거지역","","2096.124963","184.3865472"
"2669","제2종일반주거지역_01201","UQA122","제2종일반주거지역","","","제2종일반주거지역","","17080.1291","601.5184952"
"2670","제2종일반주거지역_00952","UQA122","제2종일반주거지역","","","제2종일반주거지역","","4434.68653","307.4325806"
"2671","제3종일반주거지역_00223","UQA123","제3종일반주거지역","","","제3종일반주거지역","","31127.47808","1344.536512"
"2672","제3종일반주거지역_00255","UQA123","제3종일반주거지역","","","제3종일반주거지역","","8440.052883","431.5478202"
"2673","제2종일반주거지역_UQA12220120508797","UQA122","제2종일반주거지역","UQA12220120508797","58028979","제2종일반주거지역(12층)","20110818","66939.59009","1888.564735"
"2674","제2종일반주거지역(7층이하)_UQA12420120511803","UQA124","제2종일반주거지역(7층이하)","UQA12420120511803","58029005","제2종일반주거지역(7층이하)","20120112","10375.08828","657.5170828"
"2675","제1종일반주거지역_00639","UQA121","제1종일반주거지역","","","제1종일반주거지역","","972.4518831","126.8829863"
"2676","제3종일반주거지역_1631","UQA123","제3종일반주거지역","UQA12320060918361","9383","제3종일반주거지역","","6320.710275","336.1097674"
"2677","제1종일반주거지역_00854","UQA121","제1종일반주거지역","","","제1종일반주거지역","","913.6866534","126.3739986"
"2678","제3종일반주거지역_00322","UQA123","제3종일반주거지역","","","제3종일반주거지역","","8175.074332","382.3523824"
"2679","제2종일반주거지역(7층이하)_00160","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","7717.787547","373.8253234"
"2680","제1종일반주거지역_00549","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1334.554791","153.6049705"
"2681","제2종일반주거지역_00165","UQA122","제2종일반주거지역","","","제2종일반주거지역","","2556.4907","239.9206682"
"2682","제2종일반주거지역_01523","UQA122","제2종일반주거지역","","","제2종일반주거지역","","21641.93222","948.1293959"
"2683","제2종일반주거지역(7층이하)_00324","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","65495.88432","1380.104752"
"2684","제2종일반주거지역(7층이하)_00430","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","17173.51282","579.6684205"
"2685","준주거지역_4538","UQA130","준주거지역","32595","1863","준주거지역","","13.47049042","17.62792496"
"2686","제2종일반주거지역(7층이하)_00001","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","246.9599354","115.3195337"
"2687","제2종일반주거지역(7층이하)_00266","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","32804.17387","1227.429194"
"2688","제3종일반주거지역_00436","UQA123","제3종일반주거지역","","","제3종일반주거지역","","3972.5452","307.0441126"
"2689","제2종일반주거지역_01266","UQA122","제2종일반주거지역","","","제2종일반주거지역","","4816.496391","342.2487173"
"2690","제1종일반주거지역_00970","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1912.773009","181.656472"
"2691","제1종일반주거지역_00433","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1500.177007","161.9938556"
